name,weight,measure,protein-gm,protein-unit,protein-value,fat-gm,fat-unit,fat-value,carb-gm,carb-unit,carb-value
"Alcoholic beverage, wine, table, white, Pinot Gris (Grigio)",29.3,1.0 fl oz,0.07,g,0.02,0.0,g,0.00,2.06,g,0.60
"Alcoholic beverage, wine, table, white, Riesling",29.6,1.0 fl oz,0.07,g,0.02,0.0,g,0.00,3.74,g,1.11
"Alcoholic beverage, wine, table, white, Sauvignon Blanc",29.3,1.0 fl oz,0.07,g,0.02,0.0,g,0.00,2.05,g,0.60
"Alcoholic beverage, wine, table, white, Semillon",29.5,1.0 fl oz,0.07,g,0.02,0.0,g,0.00,3.12,g,0.92
"Alcoholic beverages, beer, higher alcohol",30.6,1.0 fl oz,0.9,g,0.28,0.0,g,0.00,0.27,g,0.08
"Alcoholic beverages, wine, rose",30.3,1.0 fl oz,0.36,g,0.11,0.0,g,0.00,3.8,g,1.15
"Alfalfa seeds, sprouted, raw",33.0,1.0 cup,3.99,g,1.32,0.69,g,0.23,2.1,g,0.69
"Amaranth grain, cooked",246.0,1.0 cup,3.8,g,9.35,1.58,g,3.89,18.69,g,45.98
"Amaranth grain, uncooked",193.0,1.0 cup,13.56,g,26.17,7.02,g,13.55,65.25,g,125.93
"Amaranth leaves, cooked, boiled, drained, with salt",132.0,1.0 cup,2.11,g,2.79,0.18,g,0.24,4.11,g,5.43
"Amaranth leaves, cooked, boiled, drained, without salt",132.0,1.0 cup,2.11,g,2.79,0.18,g,0.24,4.11,g,5.43
"Amaranth leaves, raw",28.0,1.0 cup,2.46,g,0.69,0.33,g,0.09,4.02,g,1.13
"ANDREA'S, Gluten Free Soft Dinner Roll",69.0,1.0 roll,5.65,g,3.90,8.2,g,5.66,40.24,g,27.77
"Animal fat, bacon grease",4.3,1.0 tsp,0.0,g,0.00,99.5,g,4.28,--,g,--
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",248.0,1.0 cup,0.1,g,0.25,0.13,g,0.32,11.3,g,28.02
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",177.0,6.0 fl oz,0.12,g,0.21,0.17,g,0.30,11.49,g,20.34
"Apple juice, canned or bottled, unsweetened, without added ascorbic acid",248.0,1.0 cup,0.1,g,0.25,0.13,g,0.32,11.3,g,28.02
"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid",239.0,1.0 cup,0.14,g,0.33,0.1,g,0.24,11.54,g,27.58
"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",239.0,1.0 cup,0.14,g,0.33,0.1,g,0.24,11.54,g,27.58
"Apple juice, frozen concentrate, unsweetened, undiluted, with added ascorbic acid",211.0,1.0 can (6 fl oz),0.51,g,1.08,0.37,g,0.78,41.0,g,86.51
"Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",211.0,1.0 can (6 fl oz),0.51,g,1.08,0.37,g,0.78,41.0,g,86.51
"APPLEBEE'S, 9 oz house sirloin steak",157.0,1.0 serving,26.85,g,42.15,9.08,g,14.26,0.0,g,0.00
"APPLEBEE'S, chicken tenders platter",209.0,1.0 serving,19.62,g,41.01,16.24,g,33.94,17.98,g,37.58
"APPLEBEE'S, chicken tenders, from kids' menu",35.0,1.0 piece,19.25,g,6.74,16.15,g,5.65,18.36,g,6.43
"APPLEBEE'S, chili",136.0,1.0 cup,12.56,g,17.08,9.79,g,13.31,4.57,g,6.22
"APPLEBEE'S, coleslaw",76.0,1.0 serving,0.79,g,0.60,7.09,g,5.39,13.17,g,10.01
"APPLEBEE'S, crunchy onion rings",350.0,1.0 serving,4.58,g,16.03,19.61,g,68.64,40.17,g,140.60
"APPLEBEE'S, Double Crunch Shrimp",206.0,1.0 serving,12.31,g,25.36,18.9,g,38.93,25.96,g,53.48
"APPLEBEE'S, fish, hand battered",250.0,1.0 serving,13.23,g,33.08,9.14,g,22.85,16.65,g,41.62
"APPLEBEE'S, french fries",164.0,1.0 serving,3.31,g,5.43,13.17,g,21.60,39.5,g,64.78
"APPLEBEE'S, KRAFT, Macaroni &amp; Cheese, from kid's menu",124.0,1.0 cup,5.01,g,6.21,4.34,g,5.38,21.08,g,26.14
"APPLEBEE'S, mozzarella sticks",32.0,1.0 piece,14.87,g,4.76,18.37,g,5.88,22.87,g,7.32
"Apples, canned, sweetened, sliced, drained, heated",204.0,1.0 cup slices,0.18,g,0.37,0.43,g,0.88,16.84,g,34.35
"Apples, canned, sweetened, sliced, drained, unheated",204.0,1.0 cup slices,0.18,g,0.37,0.49,g,1.00,16.7,g,34.07
"Apples, dehydrated (low moisture), sulfured, stewed",193.0,1.0 cup,0.28,g,0.54,0.12,g,0.23,19.91,g,38.43
"Apples, dehydrated (low moisture), sulfured, uncooked",60.0,1.0 cup,1.32,g,0.79,0.58,g,0.35,93.53,g,56.12
"Apples, dried, sulfured, stewed, with added sugar",280.0,1.0 cup,0.2,g,0.56,0.07,g,0.20,20.73,g,58.04
"Apples, dried, sulfured, stewed, without added sugar",255.0,1.0 cup,0.22,g,0.56,0.07,g,0.18,15.32,g,39.07
"Apples, dried, sulfured, uncooked",86.0,1.0 cup,0.93,g,0.80,0.32,g,0.28,65.89,g,56.67
"Apples, frozen, unsweetened, heated",206.0,1.0 cup slices,0.29,g,0.60,0.33,g,0.68,12.0,g,24.72
"Apples, frozen, unsweetened, unheated",173.0,1.0 cup slices,0.28,g,0.48,0.32,g,0.55,12.31,g,21.30
"Apples, raw, fuji, with skin",109.0,"1.0 cup, sliced",0.2,g,0.22,0.18,g,0.20,15.22,g,16.59
"Apples, raw, gala, with skin",109.0,"1.0 cup, sliced",0.25,g,0.27,0.12,g,0.13,13.68,g,14.91
"Apples, raw, golden delicious, with skin",109.0,"1.0 cup, sliced",0.28,g,0.31,0.15,g,0.16,13.6,g,14.82
"Apples, raw, granny smith, with skin",109.0,"1.0 cup, sliced",0.44,g,0.48,0.19,g,0.21,13.61,g,14.83
"Apples, raw, red delicious, with skin",109.0,"1.0 cup, sliced",0.27,g,0.29,0.2,g,0.22,14.06,g,15.33
"Apples, raw, with skin",125.0,"1.0 cup, quartered or chopped",0.26,g,0.32,0.17,g,0.21,13.81,g,17.26
"Apples, raw, without skin",110.0,1.0 cup slices,0.27,g,0.30,0.13,g,0.14,12.76,g,14.04
"Apples, raw, without skin, cooked, boiled",171.0,1.0 cup slices,0.26,g,0.44,0.36,g,0.62,13.64,g,23.32
"Apples, raw, without skin, cooked, microwave",170.0,1.0 cup slices,0.28,g,0.48,0.42,g,0.71,14.41,g,24.50
"Applesauce, canned, sweetened, with salt",255.0,1.0 cup,0.18,g,0.46,--,g,--,19.91,g,50.77
"Applesauce, canned, sweetened, without salt (includes USDA commodity)",246.0,1.0 cup,0.16,g,0.39,0.17,g,0.42,17.49,g,43.03
"Applesauce, canned, unsweetened, with added ascorbic acid",244.0,1.0 cup,0.17,g,0.41,0.1,g,0.24,11.27,g,27.50
"Applesauce, canned, unsweetened, without added ascorbic acid (includes USDA commodity)",244.0,1.0 cup,0.17,g,0.41,0.1,g,0.24,11.27,g,27.50
"Apricot nectar, canned, with added ascorbic acid",251.0,1.0 cup,0.37,g,0.93,0.09,g,0.23,14.39,g,36.12
"Apricot nectar, canned, without added ascorbic acid",251.0,1.0 cup,0.37,g,0.93,0.09,g,0.23,14.39,g,36.12
"Apricots, canned, extra heavy syrup pack, without skin, solids and liquids",246.0,"1.0 cup, whole, without pits",0.55,g,1.35,0.04,g,0.10,24.85,g,61.13
"Apricots, canned, extra light syrup pack, with skin, solids and liquids",247.0,"1.0 cup, halves",0.6,g,1.48,0.1,g,0.25,12.5,g,30.88
"Apricots, canned, heavy syrup pack, with skin, solids and liquids",258.0,"1.0 cup, halves",0.53,g,1.37,0.08,g,0.21,21.47,g,55.39
"Apricots, canned, heavy syrup pack, without skin, solids and liquids",258.0,"1.0 cup, whole, without pits",0.51,g,1.32,0.09,g,0.23,21.45,g,55.34
"Apricots, canned, heavy syrup, drained",219.0,"1.0 cup, halves",0.64,g,1.40,0.11,g,0.24,21.31,g,46.67
"Apricots, canned, juice pack, with skin, solids and liquids",244.0,"1.0 cup, halves",0.63,g,1.54,0.04,g,0.10,12.34,g,30.11
"Apricots, canned, light syrup pack, with skin, solids and liquids",253.0,"1.0 cup, halves",0.53,g,1.34,0.05,g,0.13,16.49,g,41.72
"Apricots, canned, water pack, with skin, solids and liquids",243.0,"1.0 cup, halves",0.71,g,1.73,0.16,g,0.39,6.39,g,15.53
"Apricots, canned, water pack, without skin, solids and liquids",227.0,"1.0 cup, whole, without pits",0.69,g,1.57,0.03,g,0.07,5.48,g,12.44
"Apricots, dehydrated (low-moisture), sulfured, stewed",249.0,1.0 cup,1.93,g,4.81,0.24,g,0.60,32.62,g,81.22
"Apricots, dehydrated (low-moisture), sulfured, uncooked",119.0,1.0 cup,4.9,g,5.83,0.62,g,0.74,82.89,g,98.64
"Apricots, dried, sulfured, stewed, with added sugar",270.0,"1.0 cup, halves",1.17,g,3.16,0.15,g,0.40,29.26,g,79.00
"Apricots, dried, sulfured, stewed, without added sugar",250.0,"1.0 cup, halves",1.2,g,3.00,0.18,g,0.45,22.15,g,55.38
"Apricots, dried, sulfured, uncooked",130.0,"1.0 cup, halves",3.39,g,4.41,0.51,g,0.66,62.64,g,81.43
"Apricots, frozen, sweetened",242.0,1.0 cup,0.7,g,1.69,0.1,g,0.24,25.1,g,60.74
"Apricots, raw",155.0,"1.0 cup, halves",1.4,g,2.17,0.39,g,0.60,11.12,g,17.24
"ARBY'S, roast beef sandwich, classic",149.0,1.0 sandwich,15.17,g,22.60,10.3,g,15.35,22.21,g,33.09
"ARCHWAY Home Style Cookies, Chocolate Chip Ice Box",24.0,1.0 serving,4.28,g,1.03,24.4,g,5.86,65.02,g,15.60
"ARCHWAY Home Style Cookies, Coconut Macaroon",22.0,1.0 serving,3.02,g,0.66,22.55,g,4.96,61.23,g,13.47
"ARCHWAY Home Style Cookies, Date Filled Oatmeal",25.0,1.0 serving,4.67,g,1.17,12.05,g,3.01,68.16,g,17.04
"ARCHWAY Home Style Cookies, Dutch Cocoa",24.0,1.0 serving,4.5,g,1.08,14.99,g,3.60,69.44,g,16.67
"ARCHWAY Home Style Cookies, Frosty Lemon",26.0,1.0 serving,4.41,g,1.15,17.11,g,4.45,64.78,g,16.84
"ARCHWAY Home Style Cookies, Iced Molasses",28.0,1.0 serving,3.5,g,0.98,14.43,g,4.04,69.12,g,19.35
"ARCHWAY Home Style Cookies, Iced Oatmeal",28.0,1.0 serving,4.89,g,1.37,16.53,g,4.63,66.76,g,18.69
"ARCHWAY Home Style Cookies, Molasses",26.0,1.0 serving,4.25,g,1.10,12.06,g,3.14,69.41,g,18.05
"ARCHWAY Home Style Cookies, Oatmeal",25.0,1.0 serving,5.48,g,1.37,14.08,g,3.52,68.17,g,17.04
"ARCHWAY Home Style Cookies, Oatmeal Raisin",26.0,1.0 serving,5.17,g,1.34,12.08,g,3.14,69.27,g,18.01
"ARCHWAY Home Style Cookies, Old Fashioned Molasses",26.0,1.0 serving,4.27,g,1.11,11.83,g,3.08,70.55,g,18.34
"ARCHWAY Home Style Cookies, Old Fashioned Windmill Cookies",20.0,1.0 serving,5.17,g,1.03,17.55,g,3.51,72.23,g,14.45
"ARCHWAY Home Style Cookies, Peanut Butter",21.0,1.0 serving,9.0,g,1.89,24.28,g,5.10,58.48,g,12.28
"ARCHWAY Home Style Cookies, Raspberry Filled",25.0,1.0 serving,4.35,g,1.09,13.26,g,3.32,65.92,g,16.48
"ARCHWAY Home Style Cookies, Reduced Fat Ginger Snaps",32.0,1.0 serving,4.67,g,1.49,11.14,g,3.56,76.23,g,24.39
"ARCHWAY Home Style Cookies, Strawberry Filled",25.0,1.0 serving,4.35,g,1.09,13.26,g,3.32,65.92,g,16.48
"ARCHWAY Home Style Cookies, Sugar Free Oatmeal",24.0,1.0 serving,5.54,g,1.33,20.92,g,5.02,67.2,g,16.13
"Arrowhead, cooked, boiled, drained, with salt",12.0,"1.0 corm, medium",4.49,g,0.54,0.1,g,0.01,16.14,g,1.94
"Arrowhead, cooked, boiled, drained, without salt",12.0,1.0 medium,4.49,g,0.54,0.1,g,0.01,16.14,g,1.94
"Arrowhead, raw",25.0,1.0 large,5.33,g,1.33,0.29,g,0.07,20.23,g,5.06
Arrowroot flour,128.0,1.0 cup,0.3,g,0.38,0.1,g,0.13,88.15,g,112.83
"Arrowroot, raw",120.0,"1.0 cup, sliced",4.24,g,5.09,0.2,g,0.24,13.39,g,16.07
"Artichokes, (globe or french), cooked, boiled, drained, with salt",120.0,"1.0 artichoke, medium",2.89,g,3.47,0.34,g,0.41,11.39,g,13.67
"Artichokes, (globe or french), cooked, boiled, drained, without salt",120.0,"1.0 artichoke, medium",2.89,g,3.47,0.34,g,0.41,11.95,g,14.34
"Artichokes, (globe or french), frozen, cooked, boiled, drained, with salt",168.0,1.0 cup,3.11,g,5.22,0.5,g,0.84,9.18,g,15.42
"Artichokes, (globe or french), frozen, cooked, boiled, drained, without salt",168.0,1.0 cup,3.11,g,5.22,0.5,g,0.84,9.18,g,15.42
"Artichokes, (globe or french), frozen, unprepared",84.0,0.33 package,2.63,g,2.21,0.43,g,0.36,7.75,g,6.51
"Artichokes, (globe or french), raw",128.0,"1.0 artichoke, medium",3.27,g,4.19,0.15,g,0.19,10.51,g,13.45
"Artificial Blueberry Muffin Mix, dry",31.0,1.0 muffin,4.7,g,1.46,8.7,g,2.70,77.45,g,24.01
"Arugula, raw",2.0,1.0 leaf,2.58,g,0.05,0.66,g,0.01,3.65,g,0.07
"Asparagus, canned, drained solids",242.0,1.0 cup,2.14,g,5.18,0.65,g,1.57,2.46,g,5.95
"Asparagus, canned, no salt added, solids and liquids",122.0,0.5 cup,1.8,g,2.20,0.18,g,0.22,2.48,g,3.03
"Asparagus, canned, regular pack, solids and liquids",122.0,0.5 cup,1.8,g,2.20,0.18,g,0.22,2.48,g,3.03
"Asparagus, cooked, boiled, drained",90.0,0.5 cup,2.4,g,2.16,0.22,g,0.20,4.11,g,3.70
"Asparagus, cooked, boiled, drained, with salt",90.0,0.5 cup,2.4,g,2.16,0.22,g,0.20,4.11,g,3.70
"Asparagus, frozen, cooked, boiled, drained, with salt",180.0,1.0 cup,2.95,g,5.31,0.42,g,0.76,1.92,g,3.46
"Asparagus, frozen, cooked, boiled, drained, without salt",180.0,1.0 cup,2.95,g,5.31,0.42,g,0.76,1.92,g,3.46
"Asparagus, frozen, unprepared",58.0,4.0 spears,3.23,g,1.87,0.23,g,0.13,4.1,g,2.38
"Asparagus, raw",134.0,1.0 cup,2.2,g,2.95,0.12,g,0.16,3.88,g,5.20
"AUSTIN, Cheddar Cheese on Cheese Crackers, sandwich-type",39.0,1.0 package,7.5,g,2.92,24.9,g,9.71,60.0,g,23.40
"AUSTIN, Cheddar Cheese on Cheese Crackers, sandwich-type, reduced fat",36.0,1.0 package,7.8,g,2.81,17.5,g,6.30,68.0,g,24.48
"AUSTIN, Cheddar Cheese on Wafer Crackers, sandwich-type",39.0,1.0 package,7.8,g,3.04,23.0,g,8.97,62.6,g,24.41
"AUSTIN, Cheddar Cheese on Wheat Crackers, sandwich-type",39.0,1.0 package,7.9,g,3.08,24.5,g,9.56,61.4,g,23.95
"AUSTIN, Chocolatey Peanut Butter Crackers, sandwich-type",39.0,1.0 package,7.7,g,3.00,20.8,g,8.11,66.2,g,25.82
"AUSTIN, Grilled Cheese on Wafer Crackers, sandwich-type",39.0,1.0 package,7.9,g,3.08,23.8,g,9.28,62.0,g,24.18
"AUSTIN, PB &amp; J Crackers, sandwich-type",39.0,1.0 package,7.6,g,2.96,21.7,g,8.46,65.7,g,25.62
"AUSTIN, Peanut Butter on Cheese Crackers, sandwich-type",39.0,1.0 package,10.8,g,4.21,24.5,g,9.56,59.0,g,23.01
"AUSTIN, Peanut Butter on Cheese Crackers, sandwich-type, reduced fat",36.0,1.0 package,9.7,g,3.49,17.9,g,6.44,66.3,g,23.87
"AUSTIN, Peanut Butter on Toasty Crackers, sandwich-type",39.0,1.0 package,10.6,g,4.13,23.8,g,9.28,60.2,g,23.48
