name,weight,measure,protein-gm,protein-unit,protein-value,fat-gm,fat-unit,fat-value,carb-gm,carb-unit,carb-value
"Beef, ground, 75% lean meat / 25% fat, raw",113.0,4.0 oz,15.76,g,17.81,25.0,g,28.25,0.0,g,0.00
"Beef, ground, 80% lean meat / 20% fat, crumbles, cooked, pan-browned",85.0,3.0 oz,27.0,g,22.95,17.36,g,14.76,0.0,g,0.00
"Beef, ground, 80% lean meat / 20% fat, loaf, cooked, baked",85.0,3.0 oz,25.25,g,21.46,16.17,g,13.74,0.0,g,0.00
"Beef, ground, 80% lean meat / 20% fat, patty, cooked, pan-broiled",85.0,3.0 oz,24.04,g,20.43,15.94,g,13.55,0.0,g,0.00
"Beef, ground, 80% lean meat / 20% fat, raw",113.0,4.0 oz,17.17,g,19.40,20.0,g,22.60,0.0,g,0.00
"Beef, ground, 85% lean meat / 15% fat, crumbles, cooked, pan-browned",85.0,3.0 oz,27.73,g,23.57,15.3,g,13.00,0.0,g,0.00
"Beef, ground, 85% lean meat / 15% fat, loaf, cooked, baked",85.0,3.0 oz,25.93,g,22.04,14.36,g,12.21,0.0,g,0.00
"Beef, ground, 85% lean meat / 15% fat, patty, cooked, broiled",85.0,3.0 oz,25.93,g,22.04,15.41,g,13.10,0.0,g,0.00
"Beef, ground, 85% lean meat / 15% fat, patty, cooked, pan-broiled",85.0,3.0 oz,24.62,g,20.93,14.02,g,11.92,0.0,g,0.00
"Beef, ground, 85% lean meat / 15% fat, raw",85.0,3.0 oz,18.59,g,15.80,15.0,g,12.75,0.0,g,0.00
"Beef, ground, 90% lean meat / 10% fat, crumbles, cooked, pan-browned",85.0,3.0 oz,28.45,g,24.18,12.04,g,10.23,0.0,g,0.00
"Beef, ground, 90% lean meat / 10% fat, loaf, cooked, baked",85.0,3.0 oz,26.62,g,22.63,11.1,g,9.44,0.0,g,0.00
"Beef, ground, 90% lean meat / 10% fat, patty, cooked, broiled",85.0,3.0 oz,26.11,g,22.19,11.75,g,9.99,0.0,g,0.00
"Beef, ground, 90% lean meat / 10% fat, patty, cooked, pan-broiled",85.0,3.0 oz,25.21,g,21.43,10.68,g,9.08,0.0,g,0.00
"Beef, ground, 90% lean meat / 10% fat, raw",113.0,4.0 oz,20.0,g,22.60,10.0,g,11.30,0.0,g,0.00
"Beef, ground, 93% lean meat / 7% fat, crumbles, cooked, pan-browned",85.0,3.0 oz,28.88,g,24.55,9.51,g,8.08,0.0,g,0.00
"Beef, ground, 93% lean meat / 7% fat, loaf, cooked, baked",85.0,3.0 oz,27.03,g,22.98,8.43,g,7.17,0.0,g,0.00
"Beef, ground, 93% lean meat / 7% fat, patty, cooked, broiled",85.0,3.0 oz,26.22,g,22.29,8.94,g,7.60,0.0,g,0.00
"Beef, ground, 93% lean meat / 7% fat, raw",113.0,4.0 oz,20.85,g,23.56,7.0,g,7.91,0.0,g,0.00
"Beef, ground, 93% lean meat /7% fat, patty, cooked, pan-broiled",85.0,3.0 oz,25.56,g,21.73,8.01,g,6.81,0.06,g,0.05
"Beef, ground, 95% lean meat / 5% fat, crumbles, cooked, pan-browned",85.0,3.0 oz,29.17,g,24.79,7.58,g,6.44,0.0,g,0.00
"Beef, ground, 95% lean meat / 5% fat, loaf, cooked, baked",85.0,3.0 oz,27.31,g,23.21,6.37,g,5.41,0.0,g,0.00
"Beef, ground, 95% lean meat / 5% fat, patty, cooked, broiled",85.0,3.0 oz,26.29,g,22.35,6.8,g,5.78,0.0,g,0.00
"Beef, ground, 95% lean meat / 5% fat, patty, cooked, pan-broiled",85.0,3.0 oz,25.8,g,21.93,5.94,g,5.05,0.0,g,0.00
"Beef, ground, 95% lean meat / 5% fat, raw",113.0,4.0 oz,21.41,g,24.19,5.0,g,5.65,0.0,g,0.00
"Beef, ground, 97% lean meat / 3% fat, crumbles, cooked, pan-browned",85.0,3.0 oz,29.46,g,25.04,5.46,g,4.64,0.0,g,0.00
"Beef, ground, 97% lean meat / 3% fat, loaf, cooked, baked",85.0,3.0 oz,27.58,g,23.44,4.06,g,3.45,0.0,g,0.00
"Beef, ground, 97% lean meat / 3% fat, patty, cooked, broiled",85.0,3.0 oz,26.36,g,22.41,4.46,g,3.79,0.0,g,0.00
"Beef, ground, 97% lean meat / 3% fat, raw",113.0,4.0 oz,21.98,g,24.84,3.0,g,3.39,0.0,g,0.00
"Beef, ground, 97% lean meat /3% fat, patty, cooked, pan-broiled",85.0,3.0 oz,26.03,g,22.13,3.65,g,3.10,0.0,g,0.00
"Beef, ground, patties, frozen, cooked, broiled",85.0,3.0 oz,23.05,g,19.59,21.83,g,18.56,0.0,g,0.00
"Beef, ground, unspecified fat content, cooked",85.0,3.0 oz,25.07,g,21.31,14.53,g,12.35,0.62,g,0.53
"Beef, loin, bottom sirloin butt, tri-tip roast, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",85.0,1.0 serving,26.75,g,22.74,8.34,g,7.09,0.0,g,0.00
"Beef, loin, bottom sirloin butt, tri-tip steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",85.0,3.0 oz,29.97,g,25.47,15.18,g,12.90,0.0,g,0.00
"Beef, loin, tenderloin roast, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, roasted",85.0,3.0 oz,27.31,g,23.21,8.14,g,6.92,0.0,g,0.00
"Beef, loin, tenderloin roast, boneless, separable lean and fat, trimmed to 0"" fat, all grades, raw",85.0,3.0 oz,21.67,g,18.42,6.93,g,5.89,0.0,g,0.00
"Beef, loin, tenderloin roast, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, roasted",85.0,3.0 oz,27.26,g,23.17,8.82,g,7.50,0.0,g,0.00
"Beef, loin, tenderloin roast, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",85.0,3.0 oz,21.5,g,18.28,7.4,g,6.29,0.0,g,0.00
"Beef, loin, tenderloin roast, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, roasted",85.0,3.0 oz,27.38,g,23.27,7.12,g,6.05,0.0,g,0.00
"Beef, loin, tenderloin roast, boneless, separable lean and fat, trimmed to 0"" fat, select, raw",85.0,3.0 oz,21.91,g,18.62,6.21,g,5.28,0.0,g,0.00
"Beef, loin, tenderloin roast, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",85.0,3.0 oz,27.51,g,23.38,7.49,g,6.37,0.0,g,0.00
"Beef, loin, tenderloin roast, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",85.0,3.0 oz,21.94,g,18.65,5.74,g,4.88,0.0,g,0.00
"Beef, loin, tenderloin roast, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, roasted",85.0,3.0 oz,27.48,g,23.36,8.13,g,6.91,0.0,g,0.00
"Beef, loin, tenderloin roast, boneless, separable lean only, trimmed to 0"" fat, choice, raw",85.0,3.0 oz,21.78,g,18.51,6.16,g,5.24,0.0,g,0.00
"Beef, loin, tenderloin roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",85.0,3.0 oz,22.16,g,18.84,5.1,g,4.33,0.0,g,0.00
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",85.0,3.0 oz,27.55,g,23.42,6.54,g,5.56,0.0,g,0.00
"Beef, loin, tenderloin steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",85.0,3.0 oz,30.5,g,25.92,8.91,g,7.57,0.0,g,0.00
"Beef, loin, tenderloin steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, raw",85.0,3.0 oz,21.72,g,18.46,6.67,g,5.67,0.0,g,0.00
"Beef, loin, tenderloin steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",85.0,3.0 oz,30.21,g,25.68,9.71,g,8.25,0.0,g,0.00
"Beef, loin, tenderloin steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",85.0,3.0 oz,21.57,g,18.33,7.1,g,6.04,0.0,g,0.00
"Beef, loin, tenderloin steak, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",85.0,3.0 oz,30.93,g,26.29,7.7,g,6.54,0.0,g,0.00
"Beef, loin, tenderloin steak, boneless, separable lean and fat, trimmed to 0"" fat, select, raw",85.0,3.0 oz,21.95,g,18.66,6.02,g,5.12,0.0,g,0.00
"Beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",85.0,3.0 oz,30.7,g,26.10,8.32,g,7.07,0.0,g,0.00
"Beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",85.0,3.0 oz,21.94,g,18.65,5.74,g,4.88,0.0,g,0.00
"Beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",85.0,3.0 oz,30.45,g,25.88,9.03,g,7.68,0.0,g,0.00
"Beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, choice, raw",85.0,3.0 oz,21.78,g,18.51,6.16,g,5.24,0.0,g,0.00
"Beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, select, cooked, grilled",85.0,3.0 oz,31.09,g,26.43,7.25,g,6.16,0.0,g,0.00
"Beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, select, raw",85.0,3.0 oz,22.16,g,18.84,5.1,g,4.33,0.0,g,0.00
"Beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",85.0,3.0 oz,28.57,g,24.28,11.15,g,9.48,0.0,g,0.00
"Beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, all grades, raw",85.0,3.0 oz,22.43,g,19.07,8.17,g,6.94,0.0,g,0.00
"Beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",85.0,3.0 oz,28.19,g,23.96,12.51,g,10.63,0.0,g,0.00
"Beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, choice, raw",85.0,3.0 oz,22.19,g,18.86,9.16,g,7.79,0.0,g,0.00
"Beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",85.0,3.0 oz,29.16,g,24.79,9.12,g,7.75,0.0,g,0.00
"Beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, select, raw",85.0,3.0 oz,22.79,g,19.37,6.67,g,5.67,0.0,g,0.00
"Beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",85.0,3.0 oz,29.53,g,25.10,8.41,g,7.15,0.0,g,0.00
"Beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, all grades, raw",85.0,3.0 oz,23.07,g,19.61,5.67,g,4.82,0.0,g,0.00
"Beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",85.0,3.0 oz,29.22,g,24.84,9.52,g,8.09,0.0,g,0.00
"Beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, choice, raw",85.0,3.0 oz,22.93,g,19.49,6.34,g,5.39,0.0,g,0.00
"Beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, select, cooked, grilled",85.0,3.0 oz,29.99,g,25.49,6.74,g,5.73,0.0,g,0.00
"Beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, select, raw",85.0,3.0 oz,23.3,g,19.80,4.66,g,3.96,0.0,g,0.00
"Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled",85.0,3.0 oz,26.18,g,22.25,17.69,g,15.04,0.0,g,0.00
"Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",85.0,3.0 oz,21.29,g,18.10,12.68,g,10.78,0.0,g,0.00
"Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, grilled",85.0,3.0 oz,25.69,g,21.84,19.19,g,16.31,0.0,g,0.00
"Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, raw",85.0,3.0 oz,21.13,g,17.96,13.36,g,11.36,0.0,g,0.00
"Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled",85.0,3.0 oz,26.92,g,22.88,15.44,g,13.12,0.0,g,0.00
"Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, raw",85.0,3.0 oz,21.54,g,18.31,11.65,g,9.90,0.0,g,0.00
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, cooked, grilled",85.0,3.0 oz,29.06,g,24.70,9.11,g,7.74,0.0,g,0.00
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, raw",85.0,3.0 oz,23.07,g,19.61,5.67,g,4.82,0.0,g,0.00
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",85.0,3.0 oz,28.66,g,24.36,10.34,g,8.79,0.0,g,0.00
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",85.0,3.0 oz,22.93,g,19.49,6.34,g,5.39,0.0,g,0.00
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, select, cooked, grilled",85.0,3.0 oz,29.67,g,25.22,7.26,g,6.17,0.0,g,0.00
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, select, raw",85.0,3.0 oz,23.3,g,19.80,4.66,g,3.96,0.0,g,0.00
"Beef, loin, top loin, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled",85.0,3.0 oz,26.44,g,22.47,16.78,g,14.26,0.0,g,0.00
"Beef, loin, top loin, separable lean and fat, trimmed to 1/8"" fat, choice, raw",85.0,3.0 oz,19.32,g,16.42,17.1,g,14.54,0.0,g,0.00
"Beef, loin, top loin, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled",85.0,3.0 oz,26.72,g,22.71,15.11,g,12.84,0.0,g,0.00
"Beef, loin, top loin, separable lean and fat, trimmed to 1/8"" fat, select, raw",85.0,3.0 oz,20.59,g,17.50,15.04,g,12.78,0.0,g,0.00
"Beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled",85.0,3.0 oz,26.0,g,22.10,15.0,g,12.75,0.8,g,0.68
"Beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",85.0,3.0 oz,19.9,g,16.92,12.4,g,10.54,0.0,g,0.00
"Beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, grilled",85.0,3.0 oz,26.3,g,22.36,14.3,g,12.16,1.1,g,0.94
"Beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, choice, raw",85.0,3.0 oz,19.7,g,16.74,13.4,g,11.39,0.0,g,0.00
"Beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled",85.0,3.0 oz,25.5,g,21.68,16.1,g,13.69,0.4,g,0.34
"Beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, select, raw",85.0,3.0 oz,20.1,g,17.08,10.9,g,9.26,0.0,g,0.00
"Beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, all grades, cooked, grilled",85.0,3.0 oz,28.26,g,24.02,7.23,g,6.15,0.73,g,0.62
"Beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, all grades, raw",85.0,3.0 oz,21.38,g,18.17,5.36,g,4.56,0.0,g,0.00
"Beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",85.0,3.0 oz,28.19,g,23.96,7.96,g,6.77,1.07,g,0.91
"Beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, choice, raw",85.0,3.0 oz,21.34,g,18.14,5.82,g,4.95,0.0,g,0.00
"Beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, select, cooked, grilled",85.0,3.0 oz,28.36,g,24.11,6.14,g,5.22,0.22,g,0.19
"Beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, select, raw",85.0,3.0 oz,21.44,g,18.22,4.68,g,3.98,0.0,g,0.00
"Beef, loin, top sirloin filet, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",121.0,1.0 fillet,30.58,g,37.00,5.37,g,6.50,0.0,g,0.00
"Beef, loin, top sirloin filet, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",124.0,1.0 fillet,30.45,g,37.76,5.83,g,7.23,0.0,g,0.00
"Beef, loin, top sirloin filet, boneless, separable lean only, trimmed to 0"" fat, select, cooked, grilled",115.0,1.0 fillet,30.78,g,35.40,4.68,g,5.38,0.0,g,0.00
"Beef, loin, top sirloin petite roast, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",85.0,3.0 oz,29.12,g,24.75,5.92,g,5.03,0.0,g,0.00
"Beef, loin, top sirloin petite roast, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, roasted",85.0,3.0 oz,28.97,g,24.62,6.37,g,5.41,0.0,g,0.00
"Beef, loin, top sirloin petite roast, boneless, separable lean only, trimmed to 0"" fat, select, cooked, roasted",85.0,3.0 oz,29.35,g,24.95,5.25,g,4.46,0.0,g,0.00
"Beef, loin, top sirloin petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",85.0,3.0 oz,23.04,g,19.58,3.98,g,3.38,0.0,g,0.00
"Beef, loin, top sirloin petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, choice, raw",85.0,3.0 oz,23.03,g,19.58,4.4,g,3.74,0.0,g,0.00
"Beef, loin, top sirloin petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, select, raw",85.0,3.0 oz,23.05,g,19.59,3.35,g,2.85,0.0,g,0.00
"Beef, New Zealand, imported, bolar blade, separable lean and fat, cooked, fast roasted",85.0,3.0 oz,31.3,g,26.60,11.37,g,9.66,0.0,g,0.00
"Beef, New Zealand, imported, bolar blade, separable lean and fat, raw",114.0,4.0 oz,21.29,g,24.27,8.22,g,9.37,0.0,g,0.00
"Beef, New Zealand, imported, bolar blade, separable lean only, cooked, fast roasted",85.0,3.0 oz,33.53,g,28.50,6.57,g,5.58,0.0,g,0.00
"Beef, New Zealand, imported, bolar blade, separable lean only, raw",114.0,4.0 oz,22.09,g,25.18,4.49,g,5.12,0.0,g,0.00
"Beef, New Zealand, imported, brisket navel end, separable lean and fat, cooked, braised",85.0,3.0 oz,20.14,g,17.12,41.33,g,35.13,0.0,g,0.00
"Beef, New Zealand, imported, brisket navel end, separable lean and fat, raw",114.0,4.0 oz,15.81,g,18.02,31.27,g,35.65,0.0,g,0.00
"Beef, New Zealand, imported, brisket navel end, separable lean only, cooked, braised",85.0,3.0 oz,29.35,g,24.95,16.37,g,13.91,0.0,g,0.00
"Beef, New Zealand, imported, brisket navel end, separable lean only, raw",114.0,4.0 oz,19.74,g,22.50,12.75,g,14.54,0.0,g,0.00
"Beef, New Zealand, imported, brisket point end, separable lean and fat, cooked, braised",85.0,3.0 oz,31.94,g,27.15,13.6,g,11.56,0.0,g,0.00
"Beef, New Zealand, imported, brisket point end, separable lean and fat, raw",114.0,4.0 oz,20.05,g,22.86,9.23,g,10.52,0.0,g,0.00
"Beef, New Zealand, imported, brisket point end, separable lean only, cooked, braised",85.0,3.0 oz,34.51,g,29.33,7.05,g,5.99,0.0,g,0.00
"Beef, New Zealand, imported, brisket point end, separable lean only, raw",114.0,4.0 oz,20.92,g,23.85,4.62,g,5.27,0.0,g,0.00
"Beef, New Zealand, imported, chuck eye roll, separable lean and fat, cooked, braised",85.0,3.0 oz,29.92,g,25.43,14.74,g,12.53,0.0,g,0.00
"Beef, New Zealand, imported, chuck eye roll, separable lean and fat, raw",114.0,4.0 oz,19.38,g,22.09,11.45,g,13.05,0.0,g,0.00
"Beef, New Zealand, imported, chuck eye roll, separable lean only, cooked, braised",85.0,1.0 serving,32.08,g,27.27,8.89,g,7.56,0.0,g,0.00
"Beef, New Zealand, imported, cube roll, separable lean and fat, cooked, fast roasted",85.0,3.0 oz,27.79,g,23.62,19.45,g,16.53,0.03,g,0.03
"Beef, New Zealand, imported, cube roll, separable lean and fat, raw",114.0,4.0 oz,18.22,g,20.77,16.31,g,18.59,1.31,g,1.49
"Beef, New Zealand, imported, cube roll, separable lean only, cooked, fast roasted",85.0,3.0 oz,30.09,g,25.58,13.22,g,11.24,0.0,g,0.00
"Beef, New Zealand, imported, cube roll, separable lean only, raw",114.0,4.0 oz,19.77,g,22.54,8.51,g,9.70,1.38,g,1.57
"Beef, New Zealand, imported, eye round, separable lean and fat, cooked, slow roasted",85.0,3.0 oz,29.49,g,25.07,5.57,g,4.73,0.0,g,0.00
"Beef, New Zealand, imported, eye round, separable lean and fat, raw",113.0,4.0 oz,19.88,g,22.46,4.92,g,5.56,1.32,g,1.49
"Beef, New Zealand, imported, eye round, separable lean only, cooked, slow roasted",85.0,3.0 oz,29.68,g,25.23,4.98,g,4.23,0.0,g,0.00
"Beef, New Zealand, imported, eye round, separable lean only, raw",113.0,4.0 oz,20.15,g,22.77,3.35,g,3.79,1.35,g,1.53
"Beef, New Zealand, imported, flank, separable lean and fat, cooked, braised",85.0,3.0 oz,30.13,g,25.61,9.73,g,8.27,0.0,g,0.00
"Beef, New Zealand, imported, flank, separable lean and fat, raw",113.0,4.0 oz,20.12,g,22.74,8.9,g,10.06,0.0,g,0.00
"Beef, New Zealand, imported, flank, separable lean only, cooked, braised",85.0,3.0 oz,30.75,g,26.14,7.92,g,6.73,0.0,g,0.00
"Beef, New Zealand, imported, flank, separable lean only, raw",113.0,4.0 oz,20.53,g,23.20,6.67,g,7.54,0.0,g,0.00
"Beef, New Zealand, imported, flat, separable lean and fat, cooked, braised",85.0,3.0 oz,31.86,g,27.08,13.79,g,11.72,0.0,g,0.00
"Beef, New Zealand, imported, flat, separable lean and fat, raw",113.0,4.0 oz,20.57,g,23.24,10.55,g,11.92,0.0,g,0.00
"Beef, New Zealand, imported, flat, separable lean only, cooked, braised",85.0,3.0 oz,33.22,g,28.24,10.3,g,8.76,0.0,g,0.00
"Beef, New Zealand, imported, flat, separable lean only, raw",113.0,4.0 oz,21.3,g,24.07,7.69,g,8.69,0.0,g,0.00
"Beef, New Zealand, imported, hind shin, separable lean and fat, cooked, braised",85.0,3.0 oz,29.82,g,25.35,8.5,g,7.22,0.07,g,0.06
"Beef, New Zealand, imported, hind shin, separable lean and fat, raw",113.0,4.0 oz,20.61,g,23.29,7.2,g,8.14,0.0,g,0.00
"Beef, New Zealand, imported, hind shin, separable lean only, cooked, braised",85.0,3.0 oz,31.23,g,26.55,4.64,g,3.94,0.0,g,0.00
"Beef, New Zealand, imported, hind shin, separable lean only, raw",113.0,4.0 oz,21.46,g,24.25,3.12,g,3.53,0.0,g,0.00
"Beef, New Zealand, imported, inside, raw",113.0,4.0 oz,22.16,g,25.04,4.36,g,4.93,0.1,g,0.11
"Beef, New Zealand, imported, intermuscular fat, cooked",85.0,3.0 oz,7.9,g,6.72,57.22,g,48.64,3.39,g,2.88
"Beef, New Zealand, imported, intermuscular fat, raw",113.0,4.0 oz,6.97,g,7.88,63.78,g,72.07,0.01,g,0.01
"Beef, New Zealand, imported, knuckle, cooked, fast fried",85.0,3.0 oz,27.51,g,23.38,7.58,g,6.44,0.0,g,0.00
"Beef, New Zealand, imported, manufacturing beef, cooked, boiled",85.0,3.0 oz,24.21,g,20.58,3.26,g,2.77,0.0,g,0.00
"Beef, New Zealand, imported, manufacturing beef, raw",113.0,4.0 oz,21.23,g,23.99,3.68,g,4.16,0.23,g,0.26
"Beef, New Zealand, imported, oyster blade, separable lean and fat, cooked, braised",85.0,3.0 oz,29.79,g,25.32,8.68,g,7.38,0.0,g,0.00
"Beef, New Zealand, imported, oyster blade, separable lean and fat, raw",113.0,4.0 oz,21.27,g,24.04,10.31,g,11.65,0.0,g,0.00
"Beef, New Zealand, imported, oyster blade, separable lean only, cooked, braised",85.0,3.0 oz,29.87,g,25.39,8.46,g,7.19,0.0,g,0.00
"Beef, New Zealand, imported, oyster blade, separable lean only, raw",113.0,4.0 oz,21.83,g,24.67,7.56,g,8.54,0.0,g,0.00
"Beef, New Zealand, imported, ribs prepared, cooked, fast roasted",85.0,3.0 oz,27.23,g,23.15,9.74,g,8.28,0.09,g,0.08
"Beef, New Zealand, imported, ribs prepared, raw",113.0,4.0 oz,21.31,g,24.08,6.78,g,7.66,0.0,g,0.00
"Beef, New Zealand, imported, rump centre, separable lean and fat, cooked, fast fried",85.0,3.0 oz,30.01,g,25.51,7.96,g,6.77,0.0,g,0.00
"Beef, New Zealand, imported, rump centre, separable lean and fat, raw",113.0,4.0 oz,21.65,g,24.46,6.5,g,7.34,0.0,g,0.00
"Beef, New Zealand, imported, rump centre, separable lean only, cooked, fast fried",85.0,3.0 oz,30.17,g,25.64,7.48,g,6.36,0.0,g,0.00
"Beef, New Zealand, imported, rump centre, separable lean only, raw",113.0,4.0 oz,21.74,g,24.57,6.05,g,6.84,0.0,g,0.00
"Beef, New Zealand, imported, striploin, separable lean and fat, cooked, fast fried",85.0,3.0 oz,24.89,g,21.16,22.33,g,18.98,0.02,g,0.02
"Beef, New Zealand, imported, striploin, separable lean and fat, raw",113.0,4.0 oz,18.49,g,20.89,19.53,g,22.07,0.6,g,0.68
"Beef, New Zealand, imported, striploin, separable lean only, cooked, fast fried",85.0,3.0 oz,28.53,g,24.25,11.4,g,9.69,0.0,g,0.00
"Beef, New Zealand, imported, striploin, separable lean only, raw",113.0,4.0 oz,20.93,g,23.65,7.0,g,7.91,0.74,g,0.84
"Beef, New Zealand, imported, subcutaneous fat, cooked",85.0,3.0 oz,6.5,g,5.52,78.3,g,66.56,0.0,g,0.00
"Beef, New Zealand, imported, subcutaneous fat, raw",113.0,4.0 oz,8.5,g,9.60,72.38,g,81.79,0.0,g,0.00
"Beef, New Zealand, imported, sweetbread, cooked, boiled",85.0,3.0 oz,12.53,g,10.65,29.79,g,25.32,0.0,g,0.00
"Beef, New Zealand, imported, sweetbread, raw",113.0,4.0 oz,11.51,g,13.01,28.6,g,32.32,0.0,g,0.00
"Beef, New Zealand, imported, tenderloin, separable lean and fat, cooked, fast fried",85.0,3.0 oz,29.26,g,24.87,9.35,g,7.95,0.27,g,0.23
"Beef, New Zealand, imported, tenderloin, separable lean and fat, raw",113.0,4.0 oz,21.04,g,23.78,6.88,g,7.77,0.0,g,0.00
"Beef, New Zealand, imported, tenderloin, separable lean only, cooked, fast fried",85.0,3.0 oz,29.37,g,24.96,9.01,g,7.66,0.27,g,0.23
"Beef, New Zealand, imported, tenderloin, separable lean only, raw",113.0,4.0 oz,21.19,g,23.94,6.1,g,6.89,0.0,g,0.00
"Beef, New Zealand, imported, variety meats and by-products liver, cooked, boiled",85.0,3.0 oz,23.3,g,19.80,4.68,g,3.98,3.78,g,3.21
"Beef, New Zealand, imported, variety meats and by-products, heart, cooked, boiled",85.0,3.0 oz,31.29,g,26.60,6.0,g,5.10,0.0,g,0.00
"Beef, New Zealand, imported, variety meats and by-products, heart, raw",113.0,4.0 oz,18.52,g,20.93,3.4,g,3.84,0.0,g,0.00
"Beef, New Zealand, imported, variety meats and by-products, kidney, cooked, boiled",85.0,3.0 oz,27.28,g,23.19,5.27,g,4.48,0.0,g,0.00
